zeit,sport,fleissig,entmutigen,talente,einkommen,energie,megacity,geleebohnen,soziale_medien,studium,buch,alter,geschlecht,buch__Ja,buch__Nein,geschlecht__Männlich,geschlecht__Weiblich,entmutigen_orig,energie_orig,sport_qm,fleissig_qm,talente_qm,entmutigen_qm
2022/10/11 3:20:14 PM OEZ,trifft eher nicht zu,teils teils,trifft eher nicht zu,trifft überhaupt nicht zu,60,62,4,543,150,90,Nein,20,Weiblich,0,1,0,1,2,ca. 62%,2,3,1,2
2022/10/11 3:20:22 PM OEZ,trifft völlig zu,teils teils,trifft überhaupt nicht zu,trifft eher nicht zu,61,82,5,5000,35,60,Nein,27,Männlich,0,1,1,0,1,ca. 82%,5,3,2,1
2022/10/11 3:20:29 PM OEZ,trifft eher zu,teils teils,teils teils,trifft eher nicht zu,74,82,3,1423,90,120,Ja,26,Weiblich,1,0,0,1,3,ca. 82%,4,3,2,3
2022/10/11 3:20:32 PM OEZ,trifft eher zu,trifft eher zu,teils teils,trifft eher nicht zu,70,82,4,2000,120,120,Ja,19,Weiblich,1,0,0,1,3,ca. 82%,4,4,2,3
2022/10/11 3:20:36 PM OEZ,trifft eher zu,teils teils,teils teils,trifft eher nicht zu,62,62,2,1500,120,90,Ja,25,Weiblich,1,0,0,1,3,ca. 62%,4,3,2,3
2022/10/11 3:20:43 PM OEZ,trifft eher nicht zu,teils teils,teils teils,teils teils,40,62,4,558,280,180,Ja,20,Weiblich,1,0,0,1,3,ca. 62%,2,3,3,3
2022/10/11 3:21:05 PM OEZ,trifft eher nicht zu,trifft eher zu,teils teils,trifft eher nicht zu,67,82,2,486,120,180,Ja,20,Weiblich,1,0,0,1,3,ca. 82%,2,4,2,3
2022/10/11 3:21:07 PM OEZ,trifft eher zu,teils teils,trifft eher nicht zu,trifft eher nicht zu,67,62,3,424,45,120,Nein,20,Weiblich,0,1,0,1,2,ca. 62%,4,3,2,2
2022/10/11 3:21:18 PM OEZ,trifft eher nicht zu,trifft eher zu,trifft eher nicht zu,trifft eher nicht zu,61,62,2,1500,120,60,Ja,20,Weiblich,1,0,0,1,2,ca. 62%,2,4,2,2
2022/10/11 3:21:38 PM OEZ,trifft völlig zu,trifft eher zu,trifft eher zu,teils teils,70,82,2,1989,90,60,Nein,20,Weiblich,0,1,0,1,4,ca. 82%,5,4,3,4
2022/10/11 3:21:40 PM OEZ,teils teils,trifft eher zu,trifft eher zu,trifft eher nicht zu,70,82,4,1000,60,150,Ja,21,Weiblich,1,0,0,1,4,ca. 82%,3,4,2,4
2022/10/11 3:22:01 PM OEZ,trifft eher nicht zu,trifft eher zu,trifft eher zu,teils teils,65%,62,2,200,3,2,Ja,21,Weiblich,1,0,0,1,4,ca. 62%,2,4,3,4
2022/10/11 3:22:27 PM OEZ,trifft eher zu,trifft eher zu,trifft völlig zu,trifft eher nicht zu,20,62,3,300,5,100,Nein,21,Männlich,0,1,1,0,5,ca. 62%,4,4,2,5
2022/10/11 3:22:41 PM OEZ,trifft eher zu,trifft eher nicht zu,teils teils,trifft eher nicht zu,40,82,2,332,120,60,Nein,20,Männlich,0,1,1,0,3,ca. 82%,4,2,2,3
2022/10/11 3:22:50 PM OEZ,trifft eher zu,teils teils,trifft völlig zu,trifft überhaupt nicht zu,65,82,4,1350,30,60,Ja,24,Männlich,1,0,1,0,5,ca. 82%,4,3,1,5
2022/10/11 3:23:21 PM OEZ,trifft völlig zu,trifft völlig zu,trifft völlig zu,trifft überhaupt nicht zu,15,82,4,750,15,4,Ja,24,Männlich,1,0,1,0,5,ca. 82%,5,5,1,5
2022/10/11 3:23:40 PM OEZ,teils teils,trifft eher nicht zu,trifft eher zu,trifft eher nicht zu,55,62,2,2000,120,45,Nein,22,Männlich,0,1,1,0,4,ca. 62%,3,2,2,4
2022/10/11 3:25:02 PM OEZ,teils teils,trifft eher zu,trifft eher nicht zu,trifft eher nicht zu,30,62,3,700,180,200,Ja,22,Weiblich,1,0,0,1,2,ca. 62%,3,4,2,2
